datetime,Open,High,Low,Close,Volume
2021-04-05,14620.399925,14922.913635,14582.311695,14907.020704,349298
2021-04-06,14910.582913,14966.756202,14823.445812,14888.113598,451762
2021-04-07,14885.099421,14951.411303,14810.567058,14929.49002,427735
2021-04-08,14929.216004,15114.450848,14923.461667,15113.354784,430219
2021-04-09,15110.888639,15171.446185,14959.357768,15137.742212,487172
2021-04-12,15145.140645,15161.033575,15051.153142,15152.813094,448770
2021-04-13,15153.08711,15338.321954,15095.817757,15318.044767,484056
2021-04-14,15320.510911,15376.6842,15095.817757,15155.553254,656306
2021-04-15,15155.279238,15382.438537,15113.902816,15343.802275,514875
2021-04-16,15347.090467,15410.114157,15293.109307,15371.203879,489930
2021-04-19,15332.841633,15402.167692,15148.702853,15228.715537,608704
2021-04-20,15235.291922,15272.284088,15037.178324,15054.441335,603263
2021-04-21,15059.921656,15264.337623,15016.627121,15225.701361,500095
2021-04-22,15231.455698,15284.340794,15017.997201,15083.487035,615692
2021-04-23,15078.554747,15324.07312,15056.633463,15239.128147,439961
2021-04-26,15256.93919,15387.918858,15197.477709,15368.737735,396165
2021-04-27,15372.025927,15399.701548,15248.992725,15290.643163,406707
2021-04-28,15296.123484,15337.773922,15211.178511,15310.646334,497531
2021-04-29,15315.852639,15415.046446,15145.962693,15284.888826,588133
2021-04-30,15288.177019,15297.493564,15147.332773,15197.203693,547612
2021-05-03,15213.644655,15287.35497,15094.995709,15109.244543,468904
2021-05-04,15109.244543,15117.465024,14666.160604,14820.705651,655782
2021-05-05,14825.089908,14978.264875,14756.037865,14778.781197,515300
2021-05-06,14779.329229,14919.07741,14674.929117,14912.775041,543856
2021-05-07,14922.365603,15145.414661,14893.593918,15033.068084,540129
2021-05-10,15035.808244,15073.074426,14583.681775,14590.25816,592064
2021-05-11,14595.738481,14660.680283,14320.352359,14596.286513,782324
2021-05-12,14600.944786,14634.374743,14204.717589,14210.745942,747645
2021-05-13,14214.582167,14494.078529,14155.668718,14348.850027,716478
2021-05-14,14352.960268,14716.031523,14326.654728,14685.067711,464872
2021-05-17,14665.612572,14740.418951,14449.139899,14590.806192,480057
2021-05-18,14586.969968,14722.607908,14444.481626,14455.716284,434424
2021-05-19,14448.31785,14515.177765,14198.689236,14488.598209,659815
2021-05-20,14490.516321,14821.801715,14414.065845,14785.083566,459621
2021-05-21,14788.645774,14873.590747,14682.601566,14702.604737,447731
2021-05-24,14668.900764,15000.734191,14639.581048,14960.727849,360833
2021-05-25,14968.400298,15058.551576,14913.871105,14981.279052,432635
2021-05-26,14983.47118,15047.316918,14967.852266,15019.093265,338640
